index,id,app,platform,rating,date,content,old_category,new_category
1096,b33a94b6-207e-4807-9201-ef81e7e6a2d3,Bell,Android,1,2025-02-13 21:07:35,always jacking up the price. I do not recommend,Price Increases,General Dissatisfaction
1111,f00fe27e-6c68-431b-807b-29b821db2655,Bell,Android,1,2025-02-12 06:24:15,worst prices in the country. terribly unsatisfied.,Price Increases,General Dissatisfaction
1114,26f779a7-64e0-4239-a887-7d59a1add5d3,Bell,Android,4,2025-02-11 17:38:47,I like having connections from Bell BUT THEY'RE EXPENSIVE.,Price Increases,Pricing/Value Comments
1125,09a4209e-a090-4f50-8fc6-e793f639dc89,Bell,Android,1,2025-02-11 09:07:38,increased fees without knowledge,Price Increases,General Dissatisfaction
1133,12295698149,Bell,iOS,1,2025-02-10 13:45:10,"Classique Bell! Toujours des modifications et des augmentations de factures non désirées et sans aucune raison. Je commence à être écœurer, même chose avec vos services internet et Fibe télévision. Nous subissons des augmentations arbitraires sans aucune raison et modification des services utilisés",Price Increases,General Dissatisfaction
1147,12fd831e-c0c4-4a2e-8505-c131fc5187cf,Bell,Android,1,2025-02-09 12:30:42,Just saw you new commercial where people are dancing in a diner as a representation of fibe plus. What a waste of money. How is that supposed to encourage people to purchase your overrated and expensive product? Maybe stop wasting money on stupid ads and work on making your product less expensive,Price Increases,Pricing/Value Comments
1150,63fbfd86-1a21-4b2d-ab1f-56b1caf456e8,Bell,Android,4,2025-02-08 20:46:21,L'app est efficace mais faut toujours surveiller nos forfaits car les augmentation sont fréquentes et si ont surveille pas nos forfaits et bien vous allez avoir des augmentation de 15 a 25% par année donc avec bell ces maintenant comme les assurances automobile faut changer de compagnie pour avoir les promo de la compétition et revenir avec bell quand ils offres des promo compétitif ces plate mais les nouveaux clients ont toujours les meilleurs prix,Price Increases,UX Complaints
1153,12287895865,Bell,iOS,1,2025-02-08 15:52:35,"Our bill keeps creeping up a few dollars every few months, even though my usage ha not changed.  Don't think about offering us extra TV channels. We can't afford them.",Price Increases,General Dissatisfaction
1157,12287135133,Bell,iOS,1,2025-02-08 11:20:49,"My bell invoice has increased from 57 dollars a month to 81 dollars over the past 12 months.  That is over 40% increase in one year.  
Shame on Bell.  I will be going elsewhere",Price Increases,Billing
1171,8c6f604236a2cfc4edf1f62748b83102,Bell,iOS,1,2025-02-07 06:07:41,A student and I’m paying 76$ a month from 55 when I started -Rip off scam,Price Increases,General Dissatisfaction
1174,ee994cb7-9240-442a-b919-a87c96ebd4e9,Bell,Android,1,2025-02-06 21:52:41,"My bill seems to always go up unexpectedly. I get promo calls from Bell, but are only for new customers... secondary companies are offering better service for a less than half of my bill.... time to leave bell!",Price Increases,General Dissatisfaction
1175,5892e957d6dc6e6dcfa41bab8ecfe88e,Bell,iOS,1,2025-02-06 20:40:11,First was 200$ and now 30$ this is not ok,Price Increases,General Dissatisfaction
1177,d7e7fcac-bbba-47b8-958d-56b49ae517cd,Bell,Android,1,2025-02-06 17:13:47,expensive,Price Increases,Pricing/Value Comments
1182,12279658576,Bell,iOS,4,2025-02-06 15:51:12,I can’t believe how much my bill has gone up with no changes to service. I will be looking for a new provider.,Price Increases,General Dissatisfaction
1184,762250e3-23d5-40ba-8402-849ed0effa1b,Bell,Android,3,2025-02-06 14:34:18,"the service is good, but every m couple months they increase the bill.",Price Increases,General Dissatisfaction
1197,12275532169,Bell,iOS,1,2025-02-05 15:20:22,This company is outrageously priced for well established costumers. Your best savings is to bounce back and forth with Roger’s because that’s how these companies work. Better price for the newer costumers,Price Increases,General Dissatisfaction
1202,12274458498,Bell,iOS,1,2025-02-05 09:07:39,Expensive,Price Increases,Pricing/Value Comments
1251,12259601186,Bell,iOS,2,2025-02-01 18:01:08,Why am I paying so much this month,Price Increases,General Dissatisfaction
1254,12258708109,Bell,iOS,1,2025-02-01 12:40:30,Can’t believe it’s such a ripoff for wifi!,Price Increases,General Dissatisfaction
1259,b59fbf87-3fa7-4e8b-9d6a-59dac0c5524b,Bell,Android,1,2025-02-01 07:40:13,I have been paying $20 more per month for my internet services when the faster package was costing me less and nobody from bell thought to notify me that I have been overpaying for my service.,Price Increases,General Dissatisfaction
1289,12247469445,Bell,iOS,1,2025-01-29 20:25:12,Bell raises its price above inflation and is just terrible to do business with.,Price Increases,General Dissatisfaction
1299,12245903809,Rogers,iOS,2,2025-01-29 10:33:09,Their costs are way to high . I preferred Shaw before the takeover.,Price Increases,General Dissatisfaction
1312,640c629f-211e-4a20-ac32-59df6b5a3da1,Bell,Android,1,2025-01-28 09:14:03,I don't appreciate being penalized $10/month if I don't provide my banking details to Bell. Shame on this company...,Price Increases,UX Complaints
1317,f2eaa848-361c-4c0c-a687-ec87ed06ae57,Rogers,Android,1,2025-01-28 00:50:51,Always in maintenance when i need it. And the shaw merger ruined the companys honesty and services. They are charging me for a device i already paid off by not changing the bill all i have is a cell phone and im paying 200$ telus gives you everything at under 150,Price Increases,General Dissatisfaction
1320,12239059004,Bell,iOS,1,2025-01-27 16:53:22,"Why do I have to reactivate, at an added cost. The features I already had with my contract. Stop abusing us for God sake and leave was is working alone!!!",Price Increases,General Dissatisfaction
1341,514e1d7da34b17164717c9118e17f79b,Bell,iOS,1,2025-01-26 12:08:11,Been with bell almost 20 years prices go up and service goes down,Price Increases,General Dissatisfaction
1345,12233603896,Bell,iOS,5,2025-01-26 08:10:29,"So I did this latest update. I have iPhone XR with latest iOS. Seems weird my account data usage is coming out of my bonus 5 gig and not my plan 10 gig unlimited. I haven’t changed anything. Guess this means a face to face at my favourite Bell centre. 👀 April 28/23. Same visuals.Bug ?? ..July 26/23 … opened Bell app , had the Ads info thing for personalizing to accept now or later. Got a follow up text. But it was not in English. It was French. Sorry , not my language….
August 31/24  Please … my language is ENGLISH only. Thank you. ****************
January 26, 2025… my mobility account has a  1st time ever message about $ increase. I was told at onset (1997) of becoming a Bell Mobility customer nothing would change in package unless eg.  I trade my phone or I change something. Over the years ( since 1997 ) I have received from Bell loyalty perks. The latest is Free Basic Crave (2024) I went to my fave Bell outlet, they referred me to Phone Bell. Sounds like a runaround. Not logical. My ability to call during my work hours is limited.",Price Increases,UX Complaints
1385,12213604044,Bell,iOS,1,2025-01-21 15:59:58,Way to expensive,Price Increases,Pricing/Value Comments
1399,5dee6383-4541-4311-8be0-d30ad34403f9,Bell,Android,1,2025-01-20 13:54:18,bell has put up the price of monthly cable $15 in 3 years. if I had a choice because of where I live I would not be using Bell. Although I have never had trouble with my service I find they know they can charge whatever and you will pay it.,Price Increases,General Dissatisfaction
1403,c6523205-ae56-43bd-9144-10355e8e1b5a,Bell,Android,1,2025-01-20 10:01:54,"I was talked into switching from a provider I had been with for 15 years. I was told switching to Bell would be cheaper so far since Nov it has cost me over $600 more than my previous provider. when my contract is done, I will go back to my previous provider. I was lied to and deceived. so disgusted with this service. My coverage is not better as promised. it is much worse. Worse decision in regards to cell service I have ever made. Don't fall for their deceit and lies.",Price Increases,General Dissatisfaction
1420,4e552d17-e1f5-457d-b161-da303d2df1b7,Bell,Android,1,2025-01-18 09:19:38,garbage overpriced service,Price Increases,Pricing/Value Comments
1422,a6522b89-1178-472f-917e-c2e065602828,Bell,Android,1,2025-01-18 08:19:16,My bill keeps increasing not satisfied we have only one box and 2 tv why????,Price Increases,General Dissatisfaction
1432,9b337288-0cba-4fe0-8e3d-b71de9865b9a,Bell,Android,3,2025-01-16 14:22:38,High pricing why,Price Increases,General Dissatisfaction
1465,74a79875-9a2e-482e-ac9b-559572e7064f,Bell,Android,1,2025-01-09 12:52:32,I've been customer forever 20 years and I'm going to change provider problem with internet always and paying $165 a month. ridiculous,Price Increases,General Dissatisfaction
1466,805ada4f-cf63-4e01-9ba2-0ba9cfbb8ec1,Rogers,Android,1,2025-01-09 10:51:18,I have been Rogers customer about 5 years now... Now I found they are charging more amount compared to new customer. I am paying hardware upgrade fee 70$ + 70$ ( red wireless customer) + 25$ delivery fee( which is completely not acceptable because phone is not delivered at home but you have to pick from Canada post),Price Increases,General Dissatisfaction
1505,12120993984,Rogers,iOS,1,2024-12-29 12:34:14,Worst plans for existing customers and offers best plan for new lines,Price Increases,General Dissatisfaction
1558,50d1f6c6-7b47-4f44-ac55-c818248a8cb8,Bell,Android,1,2024-12-14 13:07:06,Over priced and charges are outrageous,Price Increases,Pricing/Value Comments
1564,fae87136-22aa-45b0-a1de-5b6a0af9cca0,Bell,Android,3,2024-12-13 12:52:11,"Les prix montent constamment,même si je viens de baisser ma facture mensuelle de + de 160$/ mois à plutôt 120$/mois.On me représente par erreur une facture de + de 136.00$/ mois / du 27-12-2024",Price Increases,General Dissatisfaction
1576,12049576091,Rogers,iOS,1,2024-12-10 19:37:36,"Je suis un nouveau client depuis janvier 2024, vous m’avez attiré avec une belle promotion et des rabais durant 24 mois. En septembre 2024, (8 mois après mon activation) vous augmentez mes 5 lignes de 5$ par mois…ceci est un gros geste de malhonnêteté de la part de Rogers. Vous attirez de la clientèle avec des FAUSSE PROMOTION. Je déconseille fortement aux gens à partir de maintenant de faire affaire avec une compagnie qui n’arnaque pas leur client.",Price Increases,General Dissatisfaction
1598,bc3d3034-dbea-4cab-b7b7-3dc4f821b64c,Bell,Android,2,2024-12-07 11:25:22,so expensive service without any special options,Price Increases,Pricing/Value Comments
1658,8d73a0ce-8d74-494f-9b0f-8cf7b7b1f682,Bell,Android,1,2024-11-26 11:30:36,canadian phones plans are way too expensive.,Price Increases,Pricing/Value Comments
1674,6c25001f-cf7d-4120-a48a-da892f4eb6f1,Bell,Android,1,2024-11-24 06:31:20,way too expensive,Price Increases,Pricing/Value Comments
1783,e74bf4d1-f0da-488d-8f6a-f7e9eebd0b00,Bell,Android,3,2024-11-07 15:55:17,"Reliable service, a bit overpriced. Can you put a price on reliability? Man, first world problems.",Price Increases,Pricing/Value Comments
1796,a57b4712-1573-4780-9b46-a598df4c6cd7,Rogers,Android,1,2024-11-06 15:17:42,"Don't wast your time with Rogers or Fido, they expensive and worst customer service. For 25CAD you can get fizz number with 0 burocracry.",Price Increases,Customer Support
1802,fa7df922-002a-4f63-b987-3eea108ac854,Rogers,Android,1,2024-11-06 09:03:39,"Lol, im certainly not going to rate anything highly - regardless of the quality- when it's an extension of yet another unregulated canadian corporation charging me absurd, inflated and near criminal prices for something as necessary as a phone plan...And before you jump down my throat with the ""no ones forcing you to stick with rogers"" save it because the alternatives are just as criminal, if not worse. You'll get no positive feedback from me, unless you drop your prices SIGNIFICANTLY.",Price Increases,General Dissatisfaction
1833,faa1d1b8-19b3-44a0-a1ab-bfa0afa8ba92,Bell,Android,1,2024-11-02 12:30:31,really expensive 😪,Price Increases,Pricing/Value Comments
1860,09380cfe-c97a-4df7-bd0f-9871c5ab458a,Bell,Android,2,2024-10-30 06:22:55,Service too expensive,Price Increases,Pricing/Value Comments
1954,76710e28-cb6b-4742-a6d8-8138b7da591e,Bell,Android,1,2024-10-14 12:40:26,"too expensive, I will be switching to another provider as there are others who offer the same service for half price",Price Increases,Pricing/Value Comments
1965,11824085536,Rogers,iOS,1,2024-10-11 21:20:16,В Канаде самая дорогая связь,Price Increases,General Dissatisfaction
1980,03b8f886-2226-4df4-acd1-ba51bba981f0,Bell,Android,1,2024-10-09 06:59:32,way over priced and terrible service on PEI,Price Increases,Pricing/Value Comments
1981,055b25de-04bb-438a-a957-a5cbeab10129,Bell,Android,2,2024-10-08 18:10:01,Bell is way too much money for the services offered,Price Increases,Pricing/Value Comments
2004,208faf1a-e6bf-4d7d-9b0a-518f0ef51f28,Bell,Android,1,2024-10-05 15:26:29,"Well first of all it's Bell, so it sucks. But you got to pass money away somewhere. Bell - some of the most ludicrous rates in the world. Bell - we pretend to be canadian but we were sold to the US and have basically only Indians working for us. Bell - Mr. Bell may have invented the phone, you would think we'd be better than third world countries. Bell - bend over, because you didn't read the fine print.",Price Increases,General Dissatisfaction
2047,3e2eee44-1b6e-420a-8691-e35ee909e823,Bell,Android,2,2024-09-29 10:01:41,prices too high and service terrible,Price Increases,General Dissatisfaction
2070,b2c832bc-aac0-4dca-ab78-acd7f200dae1,Bell,Android,3,2024-09-26 10:27:11,"for as long as I have been with Bell I have been somewhat happy with the service. But when I ask if there is anything that can be done for my home services pricing it is a no, only new customers get deals. Great fleece the dedicated customers to make it easier fir new customers. looks like I may have to go elsewhere.",Price Increases,UX Complaints
2095,9c194de2-32ca-4c8a-8afa-efc2d9c96699,Bell,Android,4,2024-09-22 08:42:04,the Internet is great but expensive compared to other companies,Price Increases,Pricing/Value Comments
2124,11739741742,Rogers,iOS,1,2024-09-18 21:15:28,Has become a money hungry company that doesn’t care about loyalty?,Price Increases,General Dissatisfaction
2127,75f18861-0f59-4e7e-96f3-25006582bc7e,Bell,Android,1,2024-09-18 14:11:17,Getting expensive every month,Price Increases,Pricing/Value Comments
2142,645c1fd8-b095-47ec-b661-98f3f19ddab7,Bell,Android,1,2024-09-17 08:14:57,expensive I pay 150$ a month for the same internet my buddy pays 60$ for I will be switching out soon to koodo once it's available same internet for a quarter the price,Price Increases,Pricing/Value Comments
2161,0eb77afb-84d3-420f-b345-6915edd40620,Bell,Android,4,2024-09-15 10:32:49,les services devraient être moins chers $$,Price Increases,General Dissatisfaction
2197,11711399317,Rogers,iOS,1,2024-09-10 20:39:43,Stealing money as if we have it. Final straw was that telus was giving much better trates,Price Increases,General Dissatisfaction
2223,7ed849b1-b92f-4040-b9e1-29c5ca9e1a8b,Bell,Android,1,2024-09-07 04:42:58,it's expensive.. rather than others.,Price Increases,Pricing/Value Comments
2247,f485874f-52df-47bc-84ba-5883572189e1,Bell,Android,1,2024-09-03 12:59:03,Until they can stop bullying people into committing to a dollar amount they will continue to get a one-star rating from me,Price Increases,General Dissatisfaction
2343,11636839736,Rogers,iOS,1,2024-08-21 12:27:44,"Ever since my family’s Shaw mobility accounts got forcefully merged with Roger’s, they automatically is now charging $5 extra if you don’t opt in for auto payments option.  This is not what I signed up for when I initially agreed to start service with Shaw mobility. $5 extra times 5 family members. I am not spending $25 in Roger’s service for the exact same service and I am not satisfied with Roger’s.",Price Increases,Billing
2346,61ab8b21-a31b-4fb5-9d40-d89a48432eb9,Bell,Android,4,2024-08-21 07:44:40,please reduce on monthly charges,Price Increases,General Dissatisfaction
